[7.833888630006033e-10,4.435479981369372e-9]
[-3.119900904972793e-9,7.247737512832507e-9]
[-2.277080217871625e-8,7.73043416851194e-8]
[3.1665561863213536e-8,1.851312713348179e-8]
[4.745899325135963e-10,7.71939903257065e-9]
[-7.770779911037718e-9,-2.7805871704403385e-8]
[-1.9749329807067378e-8,-2.6855043736846125e-8]
[-1.3378816087914414e-9,9.655583641558782e-9]
[-3.4072848845913895e-7,3.4704469647609885e-7]
[-7.415380531823902e-9,1.649091086022975e-9]
[4.441384132441096e-9,-9.579203660942884e-9]
[-3.066234674799233e-8,2.2045049628618734e-8]
[-6.713928049777367e-10,-4.685757665853803e-10]
[1.2248694378631946e-8,-3.3489793938388714e-8]
[-5.205454380489328e-8,-5.554512548963961e-9]
[-3.0247261769542016e-9,2.550714909077399e-8]
[-2.0949259577555352e-8,3.028170719067747e-8]
[3.6876030213890436e-9,-1.1728288118149565e-9]
[3.435753156805509e-8,3.88558822635165e-8]
[-5.439334379408487e-8,5.4619125907594206e-8]
[5.813688012323361e-9,2.4473214445616905e-8]
[3.6534547191923785e-9,1.3868174746892477e-8]
[-3.4976744319657518e-9,-4.583845851993202e-10]
[-2.1228745829629836e-9,-4.404526631333445e-8]
[8.355705106830104e-9,-2.2415638530282526e-8]
[-6.897265158400124e-10,2.738925981013285e-9]
[3.5667533571782067e-10,-2.8664613907661605e-8]
[-9.021420484412465e-8,-3.380693607215059e-7]
[-1.7117987946439049e-9,5.739003215790015e-9]
[5.674153749448067e-8,-1.268517040058936e-8]
[-1.4633144149367873e-7,-2.0257909417791795e-7]
[-3.462331646711533e-8,3.219542839304266e-9]
[2.153147437362148e-9,-3.3118586486427544e-9]
[-8.247974985358206e-9,-2.463616321332376e-10]
[1.5653239797779816e-8,3.407093996138453e-8]
[-6.114162026017585e-9,-3.699893537502801e-8]
[2.1797892652717557e-8,7.980070637838347e-9]
[-4.9262032621388894e-8,6.478074886029139e-7]
[1.0833052936462545e-8,2.4639183087340415e-8]
[3.609421941219854e-8,6.230697817512502e-8]
[6.674849719260146e-8,3.405268619134923e-7]
[1.398499160615046e-7,4.910162769634683e-8]
[7.792923576171161e-7,-2.0632089358809927e-8]
[8.867657702547229e-8,2.3934704371581006e-8]
[1.6620639684521848e-10,-1.4153529187222148e-8]
[-3.689347221942478e-8,-5.2403564152660726e-8]
[1.2381969636043223e-9,-2.4912330835299858e-9]
[-3.748961470540648e-9,7.266405603482924e-9]
